timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1537689414669,52,get_login,200,OK,login_make_logout 1-3,text,true,,1371,130,5,50,http://eds_university.eleks.com/login,52,0,18
1537689414668,57,get_login,200,OK,login_delete_logout 3-3,text,true,,1371,130,5,50,http://eds_university.eleks.com/login,57,0,19
1537689414721,165,post_login,200,OK,login_make_logout 1-3,text,true,,463,278,5,50,http://193.105.219.194:8080/api/gds-release/v1/auth/login,165,0,50
1537689414886,82,get_login,200,OK,login_logout 4-15,text,true,,1371,130,30,50,http://eds_university.eleks.com/login,82,0,31
1537689414969,65,get_login,200,OK,login_logout 4-16,text,true,,1371,130,30,50,http://eds_university.eleks.com/login,65,0,32
1537689414205,829,get_product_list,200,OK,login_logout 4-9,text,true,,1113711,246,30,50,http://193.105.219.194:8080/api/gds-release/v1/products?includeInactive=true,402,0,0
1537689415059,911,delete_product,200,OK,login_logout 4-9,text,true,,300,252,30,50,http://193.105.219.194:8080/api/gds-release/v1/products/7395,911,0,0
1537689414969,1011,post_login,200,OK,login_logout 4-15,text,true,,463,278,29,49,http://193.105.219.194:8080/api/gds-release/v1/auth/login,1011,0,32
1537689415035,945,post_login,200,OK,login_logout 4-16,text,true,,463,278,29,49,http://193.105.219.194:8080/api/gds-release/v1/auth/login,945,0,19
1537689415983,46,get_login,200,OK,login_logout 4-19,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,46,0,24
1537689415985,53,get_login,200,OK,login_logout 4-20,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,53,0,22
1537689415987,51,get_login,200,OK,login_logout 4-22,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,51,0,22
1537689415988,51,get_login,200,OK,login_logout 4-24,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,51,0,21
1537689415982,57,get_login,200,OK,login_make_delete_logout 2-7,text,true,,1371,130,10,49,http://eds_university.eleks.com/login,57,0,25
1537689415986,53,get_login,200,OK,login_logout 4-21,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,53,0,23
1537689415988,51,get_login,200,OK,login_logout 4-23,text,true,,1371,130,29,49,http://eds_university.eleks.com/login,51,0,21
